"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17642","Iniciar sesion en Metrogas","","2026-06-20","passed","2026-06-20","","Metro","Iniciar sesion en Metrogas",""
"","18726","Iniciar sesion en Metrogas","","2026-06-20","passed","2026-06-20","","MetroPrimerProyecto","Iniciar sesion en Metrogas",""
