"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Metro","1","0","Iniciar sesion en Metrogas","0"
"0","","0","MetroPrimerProyecto","1","0","Iniciar sesion en Metrogas","0"
